age(ce),Mg25,Sr88
1939.86,6662.3,271.754
1939.72,6355.31,200.311
1939.56,6675.97,131.424
1939.42,7104.07,138.993
1939.26,5990.74,154.512
1939.12,5813.28,155.783
1938.96,6702.08,164.242
1938.82,6071.31,136.105
1938.66,5399.31,130.189
1938.52,6111.4,123.152
1938.37,6144.61,125.914
1938.22,5708.1,147.335
1938.07,6342.34,133.914
1937.92,6031.41,134.094
1937.77,6132.83,158.215
1937.63,6480.79,113.218
1937.47,5477.44,135.939
1937.33,5897.34,125.763
1937.17,6215.15,128.844
1937.03,6716.41,136.475
1936.87,6736.56,190.813
1936.73,7164.41,148.08
1936.58,8325.01,154.097
1936.43,8747.2,126.109
1936.28,9407.19,147.259
1936.13,7922.43,190.45
1935.98,9141.57,183.292
1935.84,8354.13,153.856
1935.68,9235.48,146.45
1935.54,8788.71,138.149
1935.38,9937.16,152.135
1935.24,8908.22,145.045
1935.08,10093.61,165.169
1934.94,8739.65,136.626
1934.79,8282.07,145.435
1934.64,9140.21,173.632
1934.49,7710.23,404.734
1934.34,7766.19,149.697
1934.19,7450.3,168.182
1934.03,6629.9,127.846
1933.89,7512.54,149.206
1933.73,7209.1,143.173
1933.59,6057.41,146.861
1933.44,6652.06,189.04
1933.29,7135.06,207.07
1933.14,6220,238.5
1932.99,6848.42,153.288
1932.84,7219.45,140.273
1932.7,7543.77,158.714
1932.54,6771.08,138.413
1932.4,6946.24,137.052
1932.24,7576.7,145.744
1932.1,7934.44,143.809
1931.94,7047.86,176.668
1931.8,6338.38,151.559
1931.65,7526.6,146.616
1931.5,7115.61,138.107
1931.35,6797.65,126.771
1931.2,6874.61,145.908
1931.05,6847.33,140.358
1930.91,7032.58,157.545
1930.75,7181.22,131.569
1930.61,7234.88,131.052
1930.45,8227.62,158.346
1930.31,8491.83,145.388
1930.15,9376.34,372.505
1930.01,9587.62,161.448
1929.86,9366.18,166.483
1929.71,10179.78,156.685
1929.56,10803.15,150.764
1929.41,11272.6,188.664
1929.26,9160.07,164.852
1929.12,8846.29,174.469
1928.96,9004.14,139.05
1928.82,9100.18,184.785
1928.66,9151.62,163.44
1928.52,7816.6,125.386
1928.36,6286.4,161.693
1928.22,7999.39,154.808
1922.57,7867.76,175.918
1922.49,6945.67,145.08
1922.41,6751.89,203.445
1922.33,6544.81,147.008
1922.25,7244.68,147.484
1922.17,6449.81,148.279
1922.09,7176.87,160.052
1922.01,6227.57,141.152
1921.92,6288.12,153.2
1921.85,6002.28,139.007
1921.76,6324.78,138.786
1921.69,5622.37,134.476
1921.6,6089.24,157.717
1921.52,6020.29,166.051
1921.44,5708.13,141.826
1921.36,5501.93,156.889
1921.28,5956.27,185.102
1921.2,6176.89,149.567
1921.12,6344.44,225.027
1921.04,6386.79,142.549
1920.95,6216.14,129.205
1920.88,6344.53,148.431
1920.79,6072.11,139.248
1920.71,6683.79,187.903
1920.63,7215.46,120.146
1920.55,6500.37,140.793
1920.47,6450.98,171.033
1920.39,7014.06,130.168
1920.31,8858.9,165.764
1920.23,7110.75,142.261
1920.14,8243.94,157.357
