age,ODL(Optical Density of Luminescence)
0.0,1.10168
47.581,1.10125
95.162,1.10083
142.743,1.10041
190.324,1.09999
237.905,1.0983
285.486,1.09591
333.067,1.09353
380.648,1.09114
428.229,1.08805
475.81,1.08328
523.391,1.07851
570.972,1.07374
618.553,1.06897
666.134,1.06539
713.715,1.06189
761.296,1.05838
808.877,1.05487
856.458,1.05136
904.039,1.04785
951.62,1.04435
999.201,1.04084
1046.78,1.03705
1094.36,1.03242
1141.94,1.02779
1189.52,1.02316
1237.1,1.01853
1284.68,1.0144
1332.26,1.01034
1379.84,1.00627
1427.43,1.0022
1475.01,0.997796
1522.59,0.993113
1570.17,0.988431
1617.75,0.983748
1665.33,0.97922
1712.91,0.975312
1760.49,0.971404
1808.07,0.967496
1855.65,0.963588
1903.23,0.959875
1950.82,0.956197
1998.4,0.952519
2045.98,0.948841
2093.56,0.944933
2141.14,0.940795
2188.72,0.936657
2236.3,0.93252
2283.88,0.928691
2331.46,0.926622
2379.04,0.924553
2426.62,0.922484
2474.21,0.920415
2521.79,0.917795
2569.37,0.915036
2616.95,0.912278
2664.53,0.909519
2712.11,0.906864
2759.69,0.904335
2807.27,0.901806
2854.85,0.899278
2902.43,0.896954
2950.01,0.896494
2997.59,0.896035
3045.18,0.895575
3092.76,0.895115
3140.34,0.894139
3187.92,0.892989
3235.5,0.89184
3283.08,0.89069
3330.66,0.889725
3378.24,0.889035
3425.82,0.888345
3473.4,0.887656
3520.98,0.887011
3568.56,0.887241
3616.14,0.887471
3663.73,0.887701
3711.31,0.887931
3758.89,0.88816
3806.47,0.88839
3854.05,0.88862
3901.63,0.88885
3949.21,0.88924
3996.79,0.88993
4044.37,0.89062
4091.95,0.891309
4139.54,0.891999
4187.12,0.893607
4234.7,0.895216
4282.28,0.896825
4329.86,0.898435
4377.44,0.900044
4425.02,0.901653
4472.6,0.903262
4520.18,0.904871
4567.76,0.906755
4615.34,0.909284
4662.92,0.911813
4710.5,0.914341
4758.08,0.91687
4805.66,0.918744
4853.24,0.920584
4900.82,0.922423
4948.41,0.924262
4995.99,0.926651
5043.57,0.92941
5091.15,0.932168
5138.73,0.934927
5186.31,0.937628
5233.89,0.940157
5281.47,0.942686
5329.05,0.945214
5376.63,0.947743
5424.21,0.948619
5471.79,0.949309
5519.37,0.949999
5566.95,0.950688
5614.53,0.952765
5662.11,0.955983
5709.69,0.959202
5757.27,0.96242
5804.86,0.965638
5852.44,0.968857
5900.02,0.972075
5947.6,0.975293
5995.18,0.978512
6042.76,0.9829
6090.34,0.987498
6137.92,0.992095
6185.5,0.996693
6233.08,1.00153
6280.66,1.00661
6328.24,1.0117
6375.82,1.01678
6423.4,1.0218
6470.98,1.02643
6518.56,1.03106
6566.14,1.03569
6613.72,1.04032
6661.31,1.04529
6708.89,1.05034
6756.47,1.05539
6804.05,1.06044
6851.63,1.06517
6899.21,1.06952
6946.79,1.07387
6994.37,1.07822
7041.95,1.08246
7089.53,1.08569
7137.11,1.08892
7184.69,1.09214
7232.27,1.09537
7279.85,1.09965
7327.43,1.10428
7375.01,1.10891
7422.59,1.11354
7470.18,1.11755
7517.76,1.12064
7565.34,1.12373
7612.92,1.12682
7660.5,1.12993
7708.08,1.13358
7755.66,1.13723
7803.24,1.14087
7850.82,1.14452
7898.4,1.14758
7945.98,1.15039
7993.56,1.1532
8041.14,1.156
8088.72,1.15842
8136.3,1.1601
8183.88,1.16179
8231.47,1.16347
8279.05,1.16515
8326.63,1.16572
8374.21,1.16628
8421.79,1.16684
8469.37,1.1674
8516.95,1.16705
8564.53,1.16621
8612.11,1.16537
8659.69,1.16453
8707.27,1.16364
8754.85,1.16266
8802.43,1.16168
8850.01,1.1607
8897.59,1.15972
8945.17,1.15661
8992.75,1.15338
9040.33,1.15015
9087.91,1.14692
9135.49,1.14361
9183.07,1.14025
9230.65,1.13688
9278.23,1.13351
9325.81,1.13049
9373.39,1.12853
9420.97,1.12656
9468.55,1.1246
9516.13,1.12264
9563.71,1.12017
9611.29,1.11764
9658.87,1.11512
9706.45,1.11259
9754.03,1.11045
9801.61,1.10862
9849.19,1.1068
9896.77,1.10498
9944.35,1.10316
9991.93,1.10133
10039.5,1.0995
10087.0,1.09768
10134.6,1.09585
10182.2,1.09593
10229.8,1.09635
10277.4,1.09677
10324.9,1.09719
10372.5,1.0972
10420.1,1.09678
10467.7,1.09636
10515.3,1.09593
10562.8,1.09551
10610.4,1.09509
10658.0,1.09467
10705.6,1.09425
10753.2,1.09383
10800.7,1.09375
10848.3,1.09375
10895.9,1.09375
10943.5,1.09375
10991.1,1.0928
11038.6,1.0907
11086.2,1.08859
11133.8,1.08649
11181.4,1.08452
11229.0,1.08382
11276.5,1.08312
11324.1,1.08241
11371.7,1.08171
11419.3,1.08049
11466.9,1.07909
11514.4,1.07768
11562.0,1.07628
11609.6,1.07449
11657.2,1.0721
11704.8,1.06972
11752.3,1.06733
11799.9,1.06489
11847.5,1.06139
11895.1,1.05788
11942.7,1.05437
11990.2,1.05086
12037.8,1.04823
12085.4,1.04599
12133.0,1.04374
12180.6,1.0415
12228.1,1.0393
12275.7,1.0372
12323.3,1.03509
12370.9,1.03299
12418.5,1.03088
12466.0,1.02836
12513.6,1.02584
12561.2,1.02331
12608.8,1.02079
12656.4,1.01835
12703.9,1.01597
12751.5,1.01358
12799.1,1.0112
12846.7,1.0091
12894.3,1.0077
12941.8,1.0063
12989.4,1.00489
13037.0,1.00349
13084.6,1.00395
13132.2,1.00451
13179.7,1.00507
13227.3,1.00563
13274.9,1.00678
13322.5,1.00832
13370.1,1.00986
13417.7,1.0114
13465.2,1.01326
13512.8,1.01606
13560.4,1.01887
13608.0,1.02168
13655.6,1.02448
13703.1,1.02792
13750.7,1.03143
13798.3,1.03493
13845.9,1.03844
13893.5,1.04241
13941.0,1.04676
13988.6,1.05111
14036.2,1.05546
14083.8,1.05995
14131.4,1.065
14178.9,1.07005
14226.5,1.0751
14274.1,1.08015
14321.7,1.08413
14369.3,1.08792
14416.8,1.09171
14464.4,1.0955
14512.0,1.09921
14559.6,1.10286
14607.2,1.10651
14654.7,1.11016
14702.3,1.1135
14749.9,1.11504
14797.5,1.11659
14845.1,1.11813
14892.6,1.11968
14940.2,1.12022
14987.8,1.1205
15035.4,1.12078
15083.0,1.12106
15130.5,1.12078
15178.1,1.11979
15225.7,1.11881
15273.3,1.11782
15320.9,1.11661
15368.4,1.11324
15416.0,1.10988
15463.6,1.10651
15511.2,1.10314
15558.8,1.09737
15606.3,1.09078
15653.9,1.08419
15701.5,1.07759
15749.1,1.07045
15796.7,1.06245
15844.2,1.05445
15891.8,1.04646
15939.4,1.0384
15987.0,1.02901
16034.6,1.01962
16082.1,1.01023
16129.7,1.00085
16177.3,0.991598
16224.9,0.982403
16272.5,0.973209
16320.0,0.964014
16367.6,0.955615
16415.2,0.948719
16462.8,0.941823
16510.4,0.934927
16557.9,0.928032
16605.5,0.92228
16653.1,0.916533
16700.7,0.910787
16748.3,0.90504
16795.8,0.901666
16843.4,0.899597
16891.0,0.897528
16938.6,0.895459
16986.2,0.893932
17033.7,0.893702
17081.3,0.893472
17128.9,0.893242
17176.5,0.893012
17224.1,0.894522
17271.6,0.896131
17319.2,0.89774
17366.8,0.899349
17414.4,0.901506
17462.0,0.904034
17509.5,0.906563
17557.1,0.909091
17604.7,0.911338
17652.3,0.912717
17699.9,0.914096
17747.4,0.915475
17795.0,0.916854
17842.6,0.918645
17890.2,0.920484
17937.8,0.922323
17985.3,0.924162
18032.9,0.926376
18080.5,0.928906
18128.1,0.931436
18175.7,0.933965
18223.2,0.93627
18270.8,0.937649
18318.4,0.939028
18366.0,0.940407
18413.6,0.941786
18461.1,0.943554
18508.7,0.945393
18556.3,0.947232
18603.9,0.949071
18651.5,0.951819
18699.0,0.955497
18746.6,0.959175
18794.2,0.962853
18841.8,0.966763
18889.4,0.972049
18936.9,0.977336
18984.5,0.982623
19032.1,0.98791
19079.7,0.992523
19127.3,0.996961
19174.8,1.0014
19222.4,1.00583
19270.0,1.00998
19317.6,1.01377
19365.2,1.01756
19412.7,1.02135
19460.3,1.025
19507.9,1.02739
19555.5,1.02977
19603.1,1.03216
19650.6,1.03455
19698.2,1.03474
19745.8,1.03417
19793.4,1.03361
19841.0,1.03305
19888.5,1.03127
19936.1,1.02762
19983.7,1.02398
20031.3,1.02033
20078.9,1.01665
20126.4,1.01208
20174.0,1.00752
20221.6,1.00295
20269.2,0.998391
20316.8,0.994923
20364.3,0.991934
20411.9,0.988946
20459.5,0.985958
20507.1,0.982574
20554.7,0.978436
20602.2,0.974299
20649.8,0.970161
20697.4,0.966024
20745.0,0.9628
20792.6,0.959582
20840.1,0.956364
20887.7,0.953146
20935.3,0.95052
20982.9,0.948222
21030.5,0.945923
21078.0,0.943624
21125.6,0.941798
21173.2,0.941108
21220.8,0.940418
21268.4,0.939728
21315.9,0.939038
21363.5,0.938782
21411.1,0.938553
21458.7,0.938323
21506.3,0.938093
21553.8,0.937453
21601.4,0.936534
21649.0,0.935614
21696.6,0.934695
21744.2,0.933944
21791.7,0.933714
21839.3,0.933484
21886.9,0.933254
21934.5,0.933024
21982.1,0.933
22029.7,0.933
22077.2,0.933
22124.8,0.933
22172.4,0.933
22220.0,0.933
22267.5,0.933
22315.1,0.933
22362.7,0.932821
22410.3,0.931901
22457.9,0.930982
22505.5,0.930062
22553.0,0.929143
22600.6,0.929388
22648.2,0.929848
22695.8,0.930307
22743.3,0.930767
22790.9,0.931681
22838.5,0.93306
22886.1,0.934439
22933.7,0.935818
22981.3,0.937329
23028.8,0.939627
23076.4,0.941926
23124.0,0.944225
23171.6,0.946523
23219.2,0.948093
23266.7,0.949473
23314.3,0.950853
23361.9,0.952233
23409.5,0.954021
23457.1,0.95632
23504.6,0.958618
23552.2,0.960917
23599.8,0.963323
23647.4,0.966771
23695.0,0.970219
23742.5,0.973667
23790.1,0.977115
23837.7,0.979367
23885.3,0.981206
23932.9,0.983044
23980.4,0.984883
24028.0,0.986722
24075.6,0.988561
24123.2,0.9904
24170.8,0.992239
24218.3,0.994145
24265.9,0.997574
24313.5,1.001
24361.1,1.00443
24408.7,1.00786
24456.2,1.01134
24503.8,1.01485
24551.4,1.01836
24599.0,1.02186
24646.6,1.02479
24694.1,1.02661
24741.7,1.02844
24789.3,1.03026
24836.9,1.03208
24884.5,1.03182
24932.0,1.03154
24979.6,1.03126
25027.2,1.03098
25074.8,1.03043
25122.4,1.02972
25169.9,1.02902
25217.5,1.02832
25265.1,1.02717
25312.7,1.02493
25360.3,1.02268
25407.8,1.02044
25455.4,1.01819
25503.0,1.01489
25550.6,1.01152
25598.2,1.00815
25645.7,1.00479
25693.3,1.00199
25740.9,0.999604
25788.5,0.997209
25836.1,0.994814
25883.6,0.992163
25931.2,0.988715
25978.8,0.985267
26026.4,0.981819
26074.0,0.978371
26121.5,0.975744
26169.1,0.973215
26216.7,0.970687
26264.3,0.968158
26311.9,0.966626
26359.4,0.965936
26407.0,0.965246
26454.6,0.964556
26502.2,0.964089
26549.8,0.964548
26597.3,0.965008
26644.9,0.965468
26692.5,0.965928
26740.1,0.964837
26787.7,0.963458
26835.2,0.962079
26882.8,0.9607
26930.4,0.96
26978.0,0.96
27025.6,0.96
27073.1,0.96
27120.7,0.96
27168.3,0.96
27215.9,0.96
27263.5,0.96
27311.0,0.96
27358.6,0.959272
27406.2,0.958352
27453.8,0.957432
27501.4,0.956512
27548.9,0.95437
27596.5,0.950692
27644.1,0.947015
27691.7,0.943337
27739.3,0.939915
27786.8,0.938995
27834.4,0.938076
27882.0,0.937156
27929.6,0.936237
27977.2,0.935147
28024.7,0.933998
28072.3,0.932848
28119.9,0.931699
28167.5,0.93073
28215.1,0.93004
28262.6,0.92935
28310.2,0.928661
28357.8,0.928038
28405.4,0.928958
28453.0,0.929877
28500.5,0.930797
28548.1,0.931717
28595.7,0.933115
28643.3,0.934724
28690.9,0.936333
28738.4,0.937942
28786.0,0.940574
28833.6,0.945171
28881.2,0.949768
28928.8,0.954365
28976.3,0.958962
29023.9,0.962192
29071.5,0.96541
29119.1,0.968628
29166.7,0.971846
29214.2,0.974916
29261.8,0.977904
29309.4,0.980893
29357.0,0.983881
29404.6,0.986803
29452.1,0.989562
29499.7,0.992322
29547.3,0.995081
29594.9,0.997841
29642.5,0.999835
29690.0,1.00178
29737.6,1.00372
29785.2,1.00567
29832.8,1.00705
29880.4,1.00803
29927.9,1.00901
29975.5,1.00999
30023.1,1.01084
30070.7,1.01126
30118.3,1.01168
30165.8,1.0121
30213.4,1.01252
30261.0,1.01282
30308.6,1.0131
30356.2,1.01338
30403.7,1.01366
30451.3,1.01371
30498.9,1.01357
30546.5,1.01343
30594.1,1.01329
