age(ka),d18OcarbVPDB
14.613,-7.77
14.617,-7.77
14.622,-7.64
14.626,-8.58
14.631,-9.14
14.635,-9.35
14.64,-9.71
14.644,-10.05
14.649,-10.49
14.653,-10.85
14.658,-11.16
14.662,-11.18
14.667,-11.37
14.671,-11.42
14.676,-11.5
14.68,-11.52
14.685,-11.55
14.69,-11.53
14.694,-11.38
14.699,-11.52
14.703,-11.39
14.708,-11.37
14.712,-11.31
14.717,-11.26
14.721,-11.27
14.726,-11.25
14.735,-11.44
14.739,-11.51
14.744,-11.6
14.748,-11.63
14.753,-11.64
14.757,-11.82
14.762,-11.85
14.766,-11.78
14.771,-11.73
14.776,-11.73
14.78,-11.66
14.785,-11.65
14.789,-11.54
14.794,-11.47
14.798,-11.6
14.803,-11.69
14.807,-11.54
14.812,-11.44
14.816,-11.39
14.821,-11.49
14.825,-11.57
14.83,-11.6
14.834,-11.57
14.839,-11.45
14.843,-11.54
14.848,-11.57
14.852,-11.53
14.857,-11.69
14.86,-11.83
14.864,-11.73
14.867,-11.65
14.87,-11.66
14.874,-11.75
14.877,-11.69
14.88,-11.76
14.884,-11.72
14.887,-11.67
14.89,-11.74
14.894,-11.83
14.901,-11.73
14.904,-11.72
14.907,-11.75
14.911,-11.76
14.914,-11.76
14.917,-11.67
14.921,-11.68
14.924,-11.66
14.927,-11.75
14.931,-11.81
14.934,-11.89
14.937,-11.81
14.941,-11.81
14.944,-11.67
14.947,-11.65
14.951,-11.69
14.954,-11.7
14.957,-11.68
14.961,-11.64
14.964,-11.65
14.967,-11.78
14.971,-11.81
14.974,-11.77
14.978,-11.65
14.981,-11.69
14.984,-11.64
14.988,-11.62
14.991,-11.79
14.994,-11.84
14.998,-11.71
15.001,-11.68
15.004,-11.69
15.008,-11.78
15.011,-11.69
15.014,-11.65
15.018,-11.67
15.021,-11.6
15.024,-11.73
15.028,-11.89
15.031,-11.9
15.034,-11.95
15.038,-11.9
15.041,-11.71
15.045,-11.56
15.048,-11.63
15.051,-11.78
15.055,-11.88
15.058,-11.75
15.061,-11.78
15.065,-11.82
15.068,-11.9
15.071,-11.92
15.075,-11.98
15.078,-11.91
15.081,-11.81
15.085,-11.68
15.088,-11.81
15.091,-11.79
15.095,-11.91
15.098,-11.88
15.101,-11.9
15.105,-11.84
15.108,-11.93
15.111,-11.88
15.115,-11.83
15.118,-11.8
15.122,-11.81
15.125,-11.85
15.128,-11.97
15.132,-12.1
15.135,-12.11
15.138,-12.1
15.142,-11.92
15.145,-11.9
15.148,-11.85
15.152,-11.9
15.155,-11.74
15.16,-11.77
15.164,-11.92
15.169,-11.92
15.174,-11.96
15.178,-12.14
15.183,-12.02
15.188,-12.11
15.193,-12.1
15.197,-12.09
15.202,-12.01
15.207,-12.08
15.211,-12.11
15.216,-12.15
15.221,-12.11
15.225,-12.17
15.23,-12.16
15.235,-12.1
15.239,-12.22
15.244,-12.22
15.249,-12.28
15.253,-12.24
15.258,-12.33
15.263,-12.34
15.268,-12.36
15.272,-12.34
15.277,-12.33
15.282,-12.39
15.286,-12.36
15.291,-12.41
15.297,-12.36
15.303,-12.26
15.309,-12.26
15.314,-12.29
15.32,-12.21
15.326,-12.21
15.332,-12.15
15.338,-12.09
15.384,-12.14
15.39,-12.16
15.396,-12.28
15.402,-12.24
15.408,-12.19
15.414,-12.23
15.42,-12.32
15.425,-12.33
15.431,-12.15
15.437,-12.18
15.443,-12.25
15.449,-12.19
15.455,-12.15
15.46,-12.18
15.466,-12.17
15.472,-12.21
15.478,-12.26
15.484,-12.23
15.49,-12.16
15.495,-12.17
15.501,-12.23
15.507,-12.4
15.513,-12.32
15.525,-12.41
15.531,-12.38
15.536,-12.39
15.542,-12.33
15.548,-12.34
15.554,-12.26
15.56,-12.3
15.566,-12.41
15.571,-12.31
15.577,-12.19
15.583,-12.17
15.589,-12.21
15.595,-12.25
15.601,-12.25
15.606,-12.28
15.612,-12.28
15.618,-12.29
15.624,-12.29
15.63,-12.2
15.636,-12.24
15.642,-12.24
15.647,-12.24
15.653,-12.34
15.659,-12.45
15.665,-12.43
15.671,-12.49
15.677,-12.46
15.682,-12.53
15.688,-12.46
15.694,-12.49
15.7,-12.37
15.706,-12.36
15.712,-12.3
15.718,-12.25
15.723,-12.16
15.729,-12.29
15.735,-12.3
15.741,-12.46
15.747,-12.42
15.753,-12.4
15.758,-12.19
15.764,-12.12
15.77,-12.14
15.776,-12.26
15.782,-12.1
15.788,-12.05
15.793,-11.97
15.799,-12.0
15.805,-12.05
15.811,-12.07
15.817,-12.14
15.823,-12.04
15.829,-11.97
15.834,-12.14
15.84,-12.0
15.846,-11.97
15.852,-12.2
15.858,-12.06
15.869,-12.13
15.875,-12.2
15.881,-12.25
15.887,-12.23
15.893,-12.28
15.899,-12.26
15.904,-12.31
15.91,-12.39
15.916,-12.34
15.922,-12.3
15.928,-12.29
15.934,-12.25
15.94,-12.33
15.945,-12.33
15.951,-12.28
15.957,-12.32
15.963,-12.28
15.969,-12.21
15.975,-12.2
15.98,-12.33
15.986,-12.35
15.992,-12.41
15.998,-12.43
16.004,-12.45
16.01,-12.39
16.015,-12.48
16.021,-12.5
16.027,-12.47
16.033,-12.45
16.04,-12.43
16.047,-12.34
16.054,-12.24
16.061,-12.28
16.068,-12.31
16.075,-12.26
16.082,-12.12
16.089,-12.12
16.096,-11.92
16.103,-12.03
16.11,-11.99
16.117,-12.02
16.124,-12.11
16.131,-12.11
16.139,-12.16
16.146,-12.15
16.153,-12.25
16.16,-12.33
16.167,-12.26
16.174,-12.28
16.181,-12.16
16.188,-12.13
16.195,-12.0
16.202,-12.06
16.209,-12.0
16.216,-12.07
16.223,-12.06
16.23,-12.08
16.237,-12.16
16.244,-12.17
16.251,-12.13
16.258,-12.21
16.265,-12.3
16.272,-12.12
16.279,-12.17
16.286,-12.17
16.293,-12.17
16.3,-12.27
16.307,-12.13
16.314,-12.14
16.321,-12.07
16.328,-11.91
16.335,-12.13
16.342,-11.93
16.349,-12.05
16.357,-12.19
16.364,-12.12
16.371,-12.1
16.378,-11.99
16.385,-11.75
16.392,-11.95
16.399,-11.93
16.406,-12.01
16.413,-12.11
16.42,-12.08
16.427,-11.95
16.434,-11.92
16.441,-12.03
16.448,-12.05
16.455,-12.08
16.462,-11.97
16.469,-11.89
16.476,-11.94
16.483,-12.02
16.49,-12.02
16.497,-12.04
16.504,-12.03
16.511,-12.01
16.518,-12.1
16.525,-12.13
16.532,-12.21
16.539,-12.24
16.546,-12.2
16.553,-12.06
16.561,-12.19
16.568,-12.09
16.575,-12.36
16.582,-12.08
16.589,-12.18
16.596,-11.99
16.603,-12.04
16.61,-12.14
16.617,-12.0
16.624,-11.91
16.631,-12.0
16.638,-11.87
16.645,-11.95
16.652,-11.92
16.659,-11.94
16.666,-11.99
16.673,-11.97
16.68,-12.11
16.687,-12.2
16.694,-12.2
16.701,-12.16
16.708,-12.07
16.715,-12.02
16.722,-12.02
16.729,-12.16
16.736,-12.06
16.743,-12.0
16.75,-12.1
16.757,-11.81
16.771,-11.88
16.779,-11.96
16.786,-12.02
16.793,-12.13
16.8,-11.96
16.807,-12.01
16.814,-12.0
16.821,-12.02
16.828,-11.96
16.835,-11.91
16.842,-11.84
16.849,-12.01
16.856,-12.09
16.863,-11.99
16.87,-12.03
16.877,-12.02
16.884,-12.02
16.891,-12.07
16.898,-12.04
16.905,-11.97
16.912,-12.09
16.919,-12.16
16.926,-12.18
16.933,-12.07
16.94,-11.94
16.947,-12.11
16.954,-11.97
16.961,-12.11
16.968,-12.17
16.975,-12.12
16.983,-12.09
16.99,-12.1
16.997,-12.35
17.004,-12.27
17.011,-12.27
17.018,-12.17
17.025,-12.08
17.032,-12.05
17.039,-12.03
17.046,-12.06
17.053,-12.08
17.06,-11.92
17.067,-11.85
17.074,-11.96
17.081,-12.06
17.088,-12.2
17.095,-12.21
17.101,-12.2
17.108,-12.09
17.114,-12.04
17.121,-12.09
17.127,-12.15
17.134,-11.99
17.14,-11.86
17.14,-11.85
17.143,-11.85
17.146,-11.95
17.147,-11.96
17.149,-11.93
17.152,-11.9
17.153,-11.89
17.155,-11.89
17.158,-11.91
17.16,-11.94
17.161,-11.94
17.163,-11.8
17.166,-11.89
17.167,-11.9
17.169,-11.91
17.172,-11.91
17.173,-11.92
17.175,-11.94
17.178,-11.98
17.18,-11.97
17.181,-11.96
17.183,-11.94
17.186,-11.98
17.186,-11.98
17.189,-11.93
17.192,-11.98
17.193,-12.0
17.195,-12.06
17.198,-12.06
17.199,-12.08
17.201,-12.1
17.204,-12.13
17.206,-12.16
17.206,-12.17
17.209,-12.15
17.212,-12.13
17.212,-12.13
17.215,-12.14
17.218,-12.17
17.219,-12.18
17.221,-12.19
17.224,-12.22
17.226,-12.22
17.226,-12.2
17.229,-12.09
17.232,-12.05
17.232,-12.05
17.235,-12.1
17.238,-12.07
17.239,-12.06
17.241,-12.05
17.244,-12.03
17.245,-11.98
17.247,-11.96
17.249,-11.95
17.252,-12.04
17.252,-12.05
17.258,-11.95
17.258,-11.94
17.261,-11.9
17.264,-11.89
17.265,-11.88
17.267,-11.86
17.269,-11.93
17.271,-11.93
17.272,-11.92
17.275,-11.85
17.278,-11.85
17.278,-11.85
17.281,-11.89
17.284,-11.91
17.284,-11.92
17.287,-11.95
17.29,-11.92
17.291,-11.94
17.292,-11.95
17.295,-11.94
17.298,-11.87
17.298,-11.86
17.301,-11.84
17.304,-11.84
17.304,-11.84
17.307,-11.85
17.31,-11.86
17.311,-11.84
17.312,-11.82
17.315,-11.81
17.317,-11.85
17.318,-11.86
17.321,-11.86
17.324,-11.84
17.324,-11.84
17.327,-11.81
17.33,-11.82
17.33,-11.82
17.333,-11.82
17.335,-11.82
17.337,-11.84
17.338,-11.86
17.341,-11.88
17.343,-11.91
17.344,-11.91
17.347,-11.9
17.35,-11.89
17.35,-11.9
17.353,-11.93
17.355,-11.85
17.357,-11.85
17.358,-11.87
17.361,-11.86
17.363,-11.84
17.364,-11.84
17.367,-11.88
17.37,-11.89
17.37,-11.89
17.373,-11.89
17.376,-11.88
17.376,-11.89
17.378,-11.94
17.381,-12.0
17.383,-12.0
17.384,-11.99
17.387,-11.93
17.389,-11.85
17.39,-11.83
17.393,-11.8
17.396,-11.77
17.396,-11.78
17.398,-11.81
17.401,-11.8
17.402,-11.78
17.404,-11.75
17.407,-11.76
17.409,-11.78
17.41,-11.8
17.413,-11.88
17.415,-11.96
17.416,-11.96
17.419,-12.0
17.421,-12.02
17.422,-12.02
17.424,-12.03
17.427,-12.04
17.429,-12.0
17.43,-11.95
17.433,-11.94
17.435,-11.93
17.436,-11.93
17.439,-11.9
17.441,-11.94
17.442,-11.94
17.444,-11.91
17.447,-11.84
17.448,-11.84
17.45,-11.88
17.453,-11.87
17.455,-11.88
17.456,-11.89
17.459,-11.91
17.461,-11.88
17.462,-11.88
17.464,-11.84
17.467,-11.86
17.468,-11.86
17.47,-11.85
17.473,-11.88
17.474,-11.91
17.476,-11.95
17.479,-12.02
17.481,-12.0
17.482,-11.99
17.485,-11.98
17.487,-11.93
17.488,-11.92
17.49,-11.88
17.493,-11.89
17.494,-11.88
17.496,-11.84
17.499,-11.81
17.501,-11.82
17.502,-11.84
17.505,-11.89
17.507,-11.93
17.507,-11.93
17.51,-11.93
17.513,-11.89
17.514,-11.88
17.516,-11.86
17.519,-11.89
17.52,-11.9
17.522,-11.92
17.525,-11.97
17.527,-11.94
17.528,-11.92
17.53,-11.97
17.533,-12.01
17.533,-12.02
17.536,-12.03
17.539,-12.01
17.54,-12.0
17.542,-11.97
17.545,-11.89
17.546,-11.9
17.548,-11.93
17.55,-12.05
17.553,-12.03
17.553,-12.02
17.556,-12.02
17.559,-12.04
17.56,-12.04
17.562,-12.06
17.565,-12.1
17.566,-12.09
17.568,-12.08
17.571,-12.07
17.573,-12.07
17.573,-12.06
17.576,-11.99
17.579,-12.04
17.579,-12.05
17.582,-12.08
17.585,-12.12
17.586,-12.12
17.588,-12.11
17.591,-12.11
17.592,-12.1
17.593,-12.1
17.596,-12.18
17.599,-12.17
17.599,-12.17
17.602,-12.17
17.605,-12.18
17.605,-12.19
17.608,-12.22
17.611,-12.23
17.612,-12.21
17.612,-12.21
17.613,-12.21
17.614,-12.2
17.616,-12.18
17.617,-12.12
17.618,-12.05
17.619,-12.02
17.619,-12.05
17.62,-12.1
17.622,-12.07
17.623,-12.07
17.624,-12.11
17.625,-12.13
17.625,-12.14
17.627,-12.16
17.628,-12.1
17.629,-12.08
17.63,-12.06
17.631,-12.05
17.632,-12.05
17.633,-12.11
17.634,-12.14
17.635,-12.16
17.636,-12.16
17.638,-12.14
17.638,-12.15
17.639,-12.16
17.64,-12.16
17.641,-12.16
17.642,-12.15
17.644,-12.16
17.645,-12.17
17.645,-12.17
17.646,-12.16
17.647,-12.14
17.649,-12.19
17.65,-12.17
17.651,-12.17
17.651,-12.17
17.652,-12.16
17.653,-12.15
17.655,-12.13
17.656,-12.12
17.657,-12.14
17.658,-12.14
17.658,-12.12
17.66,-12.08
17.661,-12.07
17.662,-12.08
17.663,-12.09
17.664,-12.08
17.665,-12.08
17.666,-12.12
17.667,-12.14
17.668,-12.13
17.669,-12.13
17.671,-12.2
17.671,-12.2
17.672,-12.19
17.673,-12.16
17.674,-12.13
17.676,-12.15
17.677,-12.09
17.677,-12.07
17.678,-12.06
17.679,-12.08
17.68,-12.09
17.682,-12.06
17.683,-12.08
17.684,-12.09
17.684,-12.09
17.685,-12.11
17.687,-12.19
17.688,-12.15
17.689,-12.13
17.69,-12.12
17.691,-12.12
17.691,-12.13
17.693,-12.04
17.694,-12.05
17.695,-12.03
17.696,-12.0
17.697,-11.99
17.698,-11.99
17.699,-11.98
17.7,-11.96
17.701,-11.96
17.702,-11.96
17.704,-11.97
17.704,-11.97
17.705,-12.03
17.706,-12.06
17.707,-12.05
17.709,-12.0
17.71,-12.01
17.71,-12.02
17.711,-12.04
17.712,-12.06
17.713,-12.07
17.715,-12.02
17.716,-12.01
17.717,-12.0
17.717,-12.0
17.718,-11.99
17.72,-11.97
17.721,-11.99
17.722,-11.99
17.723,-11.99
17.723,-11.99
17.724,-11.97
17.726,-11.98
17.727,-11.95
17.728,-11.93
17.729,-11.93
17.73,-11.93
17.731,-11.93
17.732,-11.89
17.733,-11.87
17.736,-11.86
17.742,-11.91
17.743,-11.91
17.751,-11.98
17.752,-11.99
17.759,-11.95
17.761,-11.95
17.767,-11.95
17.77,-11.97
17.775,-12.03
17.78,-12.02
17.783,-12.0
17.789,-11.95
17.791,-11.94
17.798,-11.96
17.799,-11.96
17.807,-12.03
17.808,-12.03
17.815,-11.99
17.817,-11.99
17.823,-12.0
17.826,-11.96
17.831,-11.92
17.836,-11.92
17.838,-11.9
17.845,-11.85
17.846,-11.85
17.854,-11.91
17.854,-11.91
17.862,-11.9
17.864,-11.89
17.87,-11.84
17.873,-11.85
17.878,-11.83
17.882,-11.81
17.886,-11.82
17.892,-11.86
17.894,-11.87
17.901,-11.87
17.902,-11.85
17.91,-11.72
17.91,-11.72
17.918,-11.7
17.919,-11.73
17.926,-11.62
17.934,-11.55
17.942,-11.47
17.95,-11.55
17.958,-11.62
17.966,-11.64
17.974,-11.55
17.982,-11.68
17.99,-11.64
17.998,-11.61
18.006,-11.52
18.014,-11.59
18.022,-11.61
18.03,-11.54
18.038,-11.48
18.045,-11.55
18.053,-11.54
18.061,-11.64
18.069,-11.6
18.077,-11.78
18.085,-11.61
18.093,-11.54
18.101,-11.63
18.109,-11.55
18.117,-11.39
18.125,-11.51
18.133,-11.62
18.141,-11.71
18.146,-11.62
18.152,-11.62
18.157,-11.63
18.163,-11.7
18.169,-11.68
18.174,-11.64
18.185,-11.71
18.19,-11.59
18.196,-11.62
18.201,-11.44
18.207,-11.44
18.213,-11.41
18.218,-11.39
18.224,-11.45
18.229,-11.36
18.235,-11.59
18.24,-11.66
18.245,-11.56
18.251,-11.74
18.257,-11.87
18.262,-11.8
18.268,-11.7
18.273,-11.81
18.279,-11.93
18.284,-11.89
18.29,-12.01
18.295,-11.84
18.3,-11.87
18.306,-11.95
18.312,-11.86
18.317,-11.97
18.323,-11.98
18.328,-11.96
18.334,-11.8
18.339,-11.88
18.345,-11.87
18.35,-11.88
18.355,-12.04
18.361,-11.97
18.367,-11.88
18.372,-11.99
18.378,-11.95
18.383,-11.92
18.389,-11.91
18.394,-12.07
18.399,-12.06
18.405,-11.85
18.416,-11.84
18.427,-11.73
18.433,-11.63
18.438,-11.7
18.443,-11.72
18.449,-11.68
18.454,-11.71
18.46,-11.67
18.466,-11.77
18.471,-11.63
18.482,-11.59
18.488,-11.37
18.493,-11.56
18.504,-11.5
18.51,-11.59
18.515,-11.41
18.521,-11.74
18.526,-11.98
18.532,-11.93
18.537,-11.98
18.543,-11.96
18.548,-11.91
18.553,-11.94
18.559,-11.94
18.565,-11.84
18.57,-11.92
18.581,-12.08
18.587,-12.04
18.592,-11.94
18.598,-11.96
18.603,-11.98
18.608,-11.93
18.614,-12.03
18.62,-12.02
18.625,-12.0
18.631,-11.92
18.636,-12.07
18.64,-12.06
18.644,-12.03
18.649,-12.01
18.653,-12.02
18.657,-12.06
18.661,-12.14
18.665,-12.26
18.669,-12.04
18.674,-12.01
18.678,-11.96
18.682,-12.0
18.686,-12.03
18.69,-11.95
18.694,-11.98
18.699,-11.99
18.703,-11.99
18.707,-11.87
18.711,-11.76
18.715,-11.69
18.72,-11.82
18.724,-11.83
18.728,-11.92
18.732,-11.87
18.736,-12.08
18.74,-12.15
18.745,-12.03
18.749,-12.01
18.753,-12.01
18.757,-12.0
18.761,-12.06
18.765,-12.1
18.77,-12.06
18.774,-12.06
18.778,-11.99
18.782,-11.94
18.786,-11.78
18.79,-11.8
18.795,-11.8
18.799,-11.87
18.803,-11.89
18.807,-11.9
18.811,-11.93
18.816,-11.93
18.82,-11.96
18.824,-12.01
18.828,-11.9
18.832,-11.99
18.836,-11.76
18.841,-11.9
18.845,-12.08
18.849,-12.0
18.853,-12.05
18.857,-12.09
18.861,-12.1
18.866,-12.17
18.87,-12.2
18.874,-12.12
18.878,-12.04
18.882,-11.99
18.887,-12.07
18.891,-12.08
18.895,-12.0
18.899,-11.97
18.903,-11.92
18.907,-11.85
18.912,-11.67
18.916,-11.64
18.92,-11.73
18.924,-11.77
18.928,-11.87
18.932,-11.84
18.937,-11.89
18.941,-11.81
18.945,-11.7
18.949,-11.73
18.953,-11.64
18.957,-11.7
18.962,-11.7
18.966,-11.93
18.97,-11.79
18.974,-11.72
18.978,-11.69
18.983,-11.69
18.987,-11.77
18.991,-11.8
18.995,-11.88
18.999,-11.84
19.003,-11.72
19.008,-11.99
19.012,-12.03
19.02,-11.8
19.024,-11.95
19.028,-11.88
19.033,-11.78
19.037,-11.82
19.041,-11.69
19.046,-11.81
19.052,-11.74
19.057,-11.86
19.063,-11.84
19.068,-11.81
