age_calBP,luminescence
-42.2,79
-41.8,79
-41.4,84
-41.0,89
-40.6,91
-40.2,93
-39.7,98
-39.3,98
-38.9,100
-38.5,103
-38.1,99
-37.7,101
-37.2,101
-36.8,100
-36.4,97
-36.0,98
-35.6,98
-35.2,94
-34.8,98
-34.4,100
-34.0,99
-33.5,102
-33.2,101
-32.7,102
-32.4,102
-32.0,102
-31.5,101
-31.1,100
-30.7,102
-30.3,104
-29.9,106
-29.6,105
-29.1,106
-28.7,109
-28.3,108
-27.9,112
-27.6,114
-27.2,117
-26.8,114
-26.3,118
-25.9,117
-25.5,116
-25.1,119
-24.7,119
-24.3,119
-24.0,117
-23.6,118
-23.2,120
-22.8,118
-22.4,120
-22.0,122
-21.6,125
-21.2,121
-20.9,121
-20.5,120
-20.1,124
-19.8,125
-19.3,125
-19.0,125
-18.6,126
-18.2,124
-17.8,125
-17.4,128
-17.0,125
-16.6,126
-16.2,126
-15.8,128
-15.5,128
-15.1,130
-14.7,129
-14.4,129
-14.0,129
-13.6,126
-13.1,128
-12.8,129
-12.4,134
-12.0,124
-11.6,119
-11.2,118
-10.9,115
-10.5,115
-10.1,116
-9.7,116
-9.3,120
-9.0,117
-8.5,111
-8.2,110
-7.8,108
-7.4,110
-7.0,113
-6.6,115
-6.2,116
-5.9,119
-5.5,119
-5.1,119
-4.8,121
-4.3,123
-4.0,122
-3.6,122
-3.2,121
-2.8,121
-2.4,122
-2.0,129
-1.6,127
-1.2,127
-0.8,126
-0.4,123
-0.1,122
0.3,123
0.7,121
1.0,121
1.5,121
1.8,123
2.2,124
2.6,121
3.0,122
3.3,122
3.7,119
4.0,120
4.4,118
4.8,118
5.2,116
5.6,114
6.0,114
6.4,114
6.8,115
7.2,115
7.6,116
8.0,118
8.4,117
8.8,119
9.2,119
9.6,119
9.9,118
10.3,116
10.7,113
11.1,116
11.5,119
11.9,116
12.3,119
12.7,119
13.1,114
13.5,115
13.8,117
14.2,115
14.6,117
14.9,118
15.4,115
15.7,113
16.1,117
16.5,115
16.9,114
17.3,113
17.7,114
18.1,110
18.5,114
18.8,108
19.2,106
19.6,102
20.0,100
20.4,96
20.8,92
21.1,93
21.6,92
21.9,94
22.3,93
22.7,97
23.1,101
23.5,100
23.9,99
24.3,101
24.7,100
25.0,101
25.5,103
25.9,105
26.2,106
26.6,106
27.1,104
27.4,100
27.8,99
28.2,101
28.6,102
29.0,102
29.4,100
29.8,101
30.1,101
30.5,99
30.9,98
31.3,97
31.7,95
32.0,94
32.4,93
32.8,92
33.2,91
33.6,92
34.0,96
34.3,96
34.8,95
35.1,95
35.5,96
35.9,94
36.3,97
36.7,99
37.1,102
37.5,111
37.9,89
38.3,70
38.7,52
39.0,46
39.4,52
39.8,56
40.2,59
40.6,63
40.9,69
41.4,70
41.7,73
42.1,71
42.5,70
42.9,67
43.3,70
43.6,70
44.0,71
44.4,67
44.8,64
45.2,66
45.6,66
45.9,66
46.3,67
46.7,66
47.1,68
47.5,72
47.9,72
48.3,73
48.7,72
49.0,72
49.4,75
49.9,78
50.2,80
50.9,81
51.8,84
52.7,84
53.5,83
54.4,83
55.2,83
56.1,83
57.0,84
57.8,86
58.6,85
59.7,89
60.6,92
61.5,90
62.4,91
63.3,95
64.2,94
65.2,96
66.0,96
67.0,97
67.9,98
68.8,99
69.8,105
70.7,106
71.5,104
72.4,103
73.4,102
74.4,101
75.2,103
76.2,106
77.1,105
77.8,101
78.8,84
79.9,80
80.7,80
81.6,79
82.6,80
83.5,77
84.5,77
85.3,74
86.3,72
87.1,71
88.0,66
88.9,58
89.8,58
90.8,58
91.9,60
92.8,58
93.9,58
94.7,56
95.5,53
96.4,52
97.5,54
98.6,49
99.5,57
100.3,69
101.3,78
102.2,83
103.0,89
104.1,93
105.1,97
106.0,101
106.9,101
108.0,99
108.7,99
109.6,95
110.5,96
111.5,98
112.4,100
113.3,105
114.3,108
115.4,111
116.3,111
117.3,113
118.3,113
119.2,116
120.0,117
120.8,118
121.5,121
122.6,124
123.6,124
124.5,126
125.4,129
126.2,132
127.1,131
128.0,132
128.9,132
129.7,130
130.7,132
131.6,129
132.6,132
133.5,132
134.4,137
135.2,136
136.0,135
136.9,135
137.7,136
138.7,136
139.7,137
140.6,138
141.5,136
142.4,137
143.3,135
144.2,135
145.1,134
145.9,132
146.8,131
147.6,131
148.6,133
149.4,133
150.3,138
151.1,137
152.1,135
153.0,139
153.8,143
154.8,151
155.5,148
156.5,150
157.2,146
158.3,150
159.3,151
160.2,150
161.1,154
162.0,150
162.8,141
163.7,146
164.5,150
165.4,150
166.3,151
167.2,150
168.1,152
169.1,152
169.9,155
170.8,147
171.8,145
172.7,147
173.6,149
174.6,150
175.4,151
176.2,153
177.1,152
178.0,150
178.8,151
179.6,150
180.6,149
181.5,148
182.3,145
183.2,141
184.0,141
184.9,141
185.8,144
186.6,145
187.5,145
188.4,147
189.1,146
190.1,144
190.9,140
191.6,141
192.5,146
193.4,151
194.3,152
195.2,152
196.1,151
196.9,151
197.7,150
198.5,148
199.5,149
200.3,148
201.1,149
201.9,148
202.8,152
203.7,150
204.5,149
205.4,150
206.2,156
207.0,155
207.8,153
208.6,148
209.5,147
210.3,150
211.2,150
211.9,150
212.7,151
213.6,148
214.4,148
215.3,155
216.0,161
216.9,155
217.8,157
218.5,157
219.3,160
220.1,159
220.9,155
221.7,149
222.6,144
223.4,148
224.4,151
225.2,149
226.1,148
226.9,143
227.8,147
228.6,148
229.4,148
230.2,147
231.0,145
231.9,144
232.7,143
233.4,142
234.2,143
235.0,142
235.9,142
236.6,143
237.4,144
238.3,145
239.1,144
240.0,145
240.9,144
241.7,149
242.7,153
243.4,158
244.2,156
245.0,158
245.8,158
246.7,158
247.4,160
248.3,162
249.3,162
250.0,161
250.8,161
251.6,159
252.4,158
253.2,155
253.9,151
254.7,148
255.5,143
256.4,148
257.3,151
258.1,153
258.8,159
259.5,163
260.1,166
261.0,165
261.8,165
262.6,163
263.4,159
264.2,159
264.9,155
265.6,151
266.3,152
267.0,152
267.6,152
268.4,153
269.1,152
269.6,152
270.3,143
270.9,144
271.5,154
272.0,159
272.6,160
273.5,158
274.1,152
274.8,156
275.6,153
276.2,151
277.0,147
277.7,146
278.5,144
279.1,143
279.7,146
280.3,146
280.9,151
281.5,151
282.3,143
283.1,146
283.6,149
284.2,150
284.8,149
285.5,150
286.2,149
286.8,144
287.5,144
288.3,145
289.1,147
290.0,151
290.7,151
291.5,152
292.0,151
292.6,150
293.3,151
293.8,153
294.6,150
295.3,147
296.0,144
296.9,144
297.6,146
298.2,144
299.0,142
299.7,142
300.5,139
301.0,140
301.8,145
302.7,146
303.5,146
304.2,142
305.0,137
305.7,135
306.3,134
307.0,133
307.7,134
308.6,133
309.1,150
309.8,152
310.6,149
311.5,148
312.1,146
312.8,146
313.6,145
314.2,147
314.8,145
315.5,146
316.3,145
317.2,144
317.9,145
318.7,143
319.6,141
320.4,136
321.3,135
322.1,148
322.7,154
323.4,150
324.1,155
324.9,157
325.6,156
326.3,152
327.0,150
327.9,149
328.8,145
329.5,148
330.2,148
330.8,146
331.7,145
332.5,144
333.4,137
334.1,141
334.8,141
335.6,144
336.3,140
337.1,143
338.0,143
338.8,142
339.4,144
340.1,140
340.9,130
341.7,135
342.6,141
343.2,149
343.9,149
344.7,151
345.4,147
346.3,139
347.0,150
347.9,154
348.7,152
349.5,152
350.3,154
351.1,155
351.9,156
352.7,156
353.5,153
354.3,153
355.2,157
355.9,158
356.7,151
357.4,154
358.1,155
358.9,156
359.7,154
360.2,150
361.1,155
361.7,159
362.5,161
363.4,156
364.2,155
365.0,159
365.9,159
366.5,137
367.4,130
368.3,112
369.0,111
369.9,106
370.7,101
371.5,97
372.2,97
372.9,96
373.6,93
374.4,86
375.1,84
376.1,84
376.9,82
377.7,83
378.4,83
379.2,86
379.9,87
380.5,86
381.1,85
381.8,83
382.5,84
383.3,84
384.1,80
385.0,80
385.7,75
386.4,71
387.2,70
387.9,69
388.7,67
389.4,68
390.2,67
390.8,68
391.7,65
392.5,65
393.3,64
394.0,57
394.7,53
395.5,55
396.3,70
396.9,84
397.8,96
398.3,112
399.0,113
399.7,109
400.3,119
401.2,116
402.1,115
402.8,114
403.5,113
404.1,114
404.8,114
405.4,106
406.1,110
