age_calBP,Rainfall Index
-43,0.3681
-42,-0.013
-41,0.0989
-40,0.0091
-39,-0.0807
-38,-0.1705
-37,0.1878
-36,0.3893
-35,0.5908
-34,-0.0591
-33,-0.0481
-32,-0.0371
-31,0.142
-30,0.3883
-29,0.2649
-28,0.1415
-27,0.2534
-26,0.298
-25,0.3427
-24,0.3649
-23,0.3423
-22,0.3198
-21,0.2972
-20,0.2746
-19,0.252
-18,0.0502
-17,-0.1516
-16,-0.2414
-15,-0.2042
-14,-0.167
-13,-0.1299
-12,-0.018
-11,0.0042
-10,0.0377
-9,0.0711
-8,0.0373
-7,0.0036
-6,-0.019
-5,0.0032
-4,0.0255
-3,0.0813
-2,0.1372
-1,0.1594
0,0.148
1,0.1367
2,0.0917
3,-0.0205
4,-0.0655
5,-0.1105
6,-0.1555
7,-0.2004
8,-0.223
9,-0.2456
10,-0.3279
11,-0.4102
12,-0.5822
13,-0.6607
14,-0.7393
15,-0.7843
16,-0.8293
17,-0.8294
18,-0.8072
19,-0.785
20,-0.7627
21,-0.7405
22,-0.7182
23,-0.696
24,-0.685
25,-0.6739
26,-0.6741
27,-0.6743
28,-0.6744
29,-0.6746
30,-0.6748
31,-0.6749
32,-0.6826
33,-0.6902
34,-0.6978
35,-0.6681
36,-0.6384
37,-0.6087
38,-0.5461
39,-0.4836
40,-0.421
41,-0.3584
42,-0.2958
43,-0.2288
44,-0.1617
45,-0.132
46,-0.1023
47,-0.0726
48,-0.0429
49,-0.0132
50,0.0165
51,0.0052
52,-0.0062
53,-0.0176
54,-0.0289
55,-0.0403
56,-0.0517
57,-0.063
58,-0.0744
59,-0.092
60,-0.1096
61,-0.1272
62,-0.1448
63,-0.1624
64,-0.1799
65,-0.1975
66,-0.2151
67,-0.2327
68,-0.2245
69,-0.2162
70,-0.208
71,-0.1998
72,-0.1915
73,-0.1833
74,-0.175
75,-0.1668
76,-0.1595
77,-0.1522
78,-0.1449
79,-0.1376
80,-0.1303
81,-0.123
82,-0.1157
83,-0.1084
84,-0.1011
85,-0.1012
86,-0.1014
87,-0.1295
88,-0.1577
89,-0.1859
90,-0.2141
91,-0.175
92,-0.136
93,-0.0969
94,-0.0579
95,-0.0132
96,0.0314
97,0.0929
98,0.1544
99,0.2158
100,0.2773
101,0.2398
102,0.2023
103,0.1647
104,0.1534
105,0.142
106,0.1307
107,0.1193
108,0.1807
109,0.2422
110,0.3037
111,0.3651
112,0.4098
113,0.4544
114,0.4543
115,0.4541
116,0.4539
117,0.4538
118,0.3976
119,0.3414
120,0.2852
121,0.2291
122,0.1841
123,0.157
124,0.13
125,0.103
126,0.0759
127,0.0489
128,0.0935
129,0.1382
130,0.1828
131,0.2275
132,0.2273
133,0.272
134,0.2494
135,0.2268
136,0.2939
137,0.3609
138,0.2936
139,0.2822
140,0.2708
141,0.2931
142,0.3153
143,0.248
144,0.1806
145,0.1132
146,0.0458
147,-0.0215
148,-0.0889
149,-0.1115
150,-0.134
151,-0.0838
152,-0.0335
153,0.0167
154,0.067
155,0.2012
156,0.2683
157,0.3354
158,0.4024
159,0.4471
160,0.4917
161,0.4748
162,0.4578
163,0.4408
164,0.4239
165,0.4611
166,0.4982
