ID,Standard_Age,Site_Name,variable,Latitude,Longitude,Location,Sampling,Loc_Samp_NO,Loc_Samp_ALL,Earliest_Year,Most_Recent_Year,Early_Age,Late_Age,Time_Unit,Country,Title,Authors,DOI,file_dir
1.0,"['Greenlandian', 'Upper']", Greenland,"['##"" in columns one and two.', '## U/Th_age_BP\tage, , , calendar years before present, , , , ,N,', '## U/Th-GICC05\tage difference, , , years, , , , ,N, age difference U/Th-GICC05', '## U/Th-GICC05-68.2-\tage difference error, , lower 68.2% confidence interval, years, , , , ,N, age difference U/Th-GICC05 confidence interval', '## U/Th-GICC05-68.2+\tage difference error, , upper 68.2% confidence interval, years, , , , ,N, age difference U/Th-GICC05 confidence interval', '## U/Th-GICC05-95.4-\tage difference error, , lower 95.4% confidence interval, years, , , , ,N, age difference U/Th-GICC05 confidence interval', '## U/Th-GICC05-95.4+\tage difference error, , upper 95.4% confidence interval, years, , , , ,N, age difference U/Th-GICC05 confidence interval']",85.0,-70.0,1,1,1,1,45000.0,11000.0,0.045,0.011, Cal Year BP,Not_A_Country, testing the synchroneity of Dansgaard-Oeschger events," Florian Adolphi, Christopher Bronk Ramsey, Tobias Erhardt, R. Lawrence Edwards, Hai Cheng, Chris S. M. Turney, Alan Cooper, Anders Svensson, Sune O. Rasmussen, Hubertus Fischer, and Raimund Muscheler ",10.5194/cp-14-1755-2018 ,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\icecore\greenland\adolphi2018gicc05-u-th.txt
4.0,['Meghalayan'], Mesoamerica,"['##"" in columns one and two.', '## Age_CE\tage, , , year Common Era, , paleolimnology; speleothems; climate reconstructions, , ,N,', '## EOF1\tempirical orthogonal function, , , dimensionless, , paleolimnology; speleothems; climate reconstructions, , , N, median EOF#1', '## EOF195-\tempirical orthogonal function, , 95% confidence interval lower bound, dimensionless, , paleolimnology; speleothems; climate reconstructions, , , N,EOF#1', '## EOF195+\tempirical orthogonal function, , 95% confidence interval upper bound, dimensionless, , paleolimnology; speleothems; climate reconstructions, , , N,EOF#1', '## EOF2\tempirical orthogonal function, , , dimensionless, , paleolimnology; speleothems; climate reconstructions, , , N, median EOF#2', '## EOF295-\tempirical orthogonal function, , 95% confidence interval lower bound, dimensionless, , paleolimnology; speleothems; climate reconstructions, , , N,EOF#2', '## EOF295+\tempirical orthogonal function, , 95% confidence interval upper bound, dimensionless, , paleolimnology; speleothems; climate reconstructions, , , N,EOF#2']",21.0,-65.0,2,2,1,1,850.0,1850.0,0.0011,0.0001, AD,Not_A_Country, Atlantic-Pacific Gradients Drive Last Millennium Hydroclimate Variability in Mesoamerica," Tripti Bhattacharya, Sloan Coats",10.1029/2020GL088061 ,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\reconstructions\bhattacharya2020\bhattacharya2020.txt
5.0,"['Meghalayan', 'Northgrippian']", Cango Cave,"['##"" in columns one and two.        ', '## depth\tdepth,,,centimeter,,speleothems;climate reconstructions,,,N,', '## age\tage,,,calendar year before present,,speleothems;climate reconstructions,,,N,', '## ageMin\tage,,range lower bound,calendar year before present,,speleothems;climate reconstructions,,,N,', '## AgeOld\tage,,range upper bound,calendar year before present,,speleothems;climate reconstructions,,,N,', '## temperature\tsurface air temperature,calcite,,degree Celsius,annual,speleothems;climate reconstructions,,,N,Craig 1965', '## uncertaintyHigh\tsurface air temperature,calcite,unspecified error upper bound,degree Celsius,annual,speleothems;climate reconstructions,,,N,', '## uncertaintyLow\tsurface air temperature,calcite,unspecified error lower bound,degree Celsius,annual,speleothems;climate reconstructions,,,N,', '## ReliabIeYN1\tnotes,,,,,speleothems;climate reconstructions,,,C,Data are reliable (Yes or No)']",-33.3926,22.214,3,3,1,1,6407.6,11.8,0.0064076,1.18e-05, Cal Year BP, South Africa," Late Quaternary paleotemperatures derived from a speleothem from Cango Caves, Cape Province, South Africa"," Talma, A.S.; Vogel, John C.",10.1016/0033-5894(92)90082-T ,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\reconstructions\climate12k\temperature\version1.0.0\Temp12k_directory_NOAA_files\CangoCave.Talma.1992.txt
6.0,['Meghalayan'], Chaara Cave,"['##"" in columns one and two.', '## depth_mm\tdepth,,,mm,,,Depth from stalagmite top,,N,', '## age_calBP\tage, , , calendar years before present, , , , ,N,', '## d18OcarbVPDB\tOxygen isotope,calcium carbonate,,per mil VPDB,,speleothem,,isotope ration mass spectrometry,N,']",33.95,-4.246,4,4,1,6,1038.0,-50.0,0.001038,0.0, Cal Year BP, Morocco, Multi-decadal to centennial hydro-climate variability and linkage to solar forcing in the Western Mediterranean during the last 1000 years," Yassine Ait Brahim, Jasper A. Wassenburg, Francisco W. Cruz, Abdelfettah Sifeddine, Denis Scholz, Lhoussaine Bouchaou, Emilie P. Dassié, Klaus P. Jochum, R. Lawrence Edwards, Hai Cheng",10.1038/s41598-018-35498-x ,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\africa\chaara2018d18o.txt
7.0,"['Meghalayan', 'Northgrippian', 'Greenlandian']", Chaara Cave,"['##"" in columns one and two.', '## depth_mm\tdepth, , , mm, , , , ,N,Depth from stalagmite top', '## age_calBP\tage, , , calendar years before present, , , , ,N,', '## d18OcarbVPDB\tdelta 18O, calcium carbonate, , per mil VPDB, ,speleothems,,isotope ratio mass spectrometry,N, ']",33.95,-4.246,4,5,2,6,11621.0,-51.0,0.011621,0.0, Cal Year BP, Morocco, Insights From Western Mediterranean Speleothems," Y. Ait Brahim, J.A. Wassenburg, L. Sha, F.W. Cruz, M. Deininger, A. Sifeddine, L. Bouchaou, Christoph Spotl, R.L. Edwards, H. Cheng",10.1029/2019GL082405 ,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\africa\chaara2019cha1d18o.txt
8.0,"['Meghalayan', 'Northgrippian', 'Greenlandian']", Chaara Cave,"['##"" in columns one and two.', '## depth_mm\tdepth, , , mm, , , , ,N,Depth from stalagmite top', '## age_calBP\tage, , , calendar years before present, , , , ,N,', '## d18OcarbVPDB\tdelta 18O, calcium carbonate, , per mil VPDB, ,speleothems,,isotope ratio mass spectrometry,N, ']",33.95,-4.246,4,6,3,6,9662.0,-58.0,0.009662,0.0, Cal Year BP, Morocco, Insights From Western Mediterranean Speleothems," Y. Ait Brahim, J.A. Wassenburg, L. Sha, F.W. Cruz, M. Deininger, A. Sifeddine, L. Bouchaou, Christoph Spotl, R.L. Edwards, H. Cheng",10.1029/2019GL082405 ,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\africa\chaara2019cha2d18o.txt
9.0,"['Meghalayan', 'Northgrippian', 'Greenlandian', 'Upper']", Chaara and Grotte de Piste Caves,"['##"" in columns one and two.', '## age_calBP\tage, , , calendar years before present, , , , ,N,', '## Rainfall Index\tRainfall index, , , , ,climate reconstructiions,,,N, ']",33.95,-4.246,4,7,4,6,11787.0,-43.0,0.011787,0.0, Cal Year BP, Morocco, Insights From Western Mediterranean Speleothems," Y. Ait Brahim, J.A. Wassenburg, L. Sha, F.W. Cruz, M. Deininger, A. Sifeddine, L. Bouchaou, Christoph Spotl, R.L. Edwards, H. Cheng",10.1029/2019GL082405 ,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\africa\chaara2019rain-index.txt
10.0,"['Northgrippian', 'Greenlandian']", Grotte de Piste,"['##"" in columns one and two.', '## age_calkaBP\tage, , , calendar years before present, , , ka BP 1950, ,N', '## Mg/Cacarb\tMagnesium/Calcium ratio, calcium carbonate, , , ,speleothem, , Laser Ablation ICPMS,N ']",35.86,-5.41,5,8,1,4,10656.0,8038.0,0.010656,0.008038, Cal Year BP, Morocco, Reorganization of the North Atlantic Oscillation during early Holocene deglaciation,"  Jasper A. Wassenburg, Stephan Dietrich, Jan Fietzke, Jens Fohlmeister, Klaus Peter Jochum, Denis Scholz, Detlev K. Richter, Abdellah Sabaoui, Christoph Spotl, Gerrit Lohmann, Meinrat O. Andreae, Adrian Immenhauser", 10.1038/ngeo2767,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\africa\grottedepiste2016bu2mg-ca.txt
11.0,"['Meghalayan', 'Northgrippian']", Grotte de Piste,"['##"" in columns one and two.', '## age_calkaBP\tage, , , calendar years before present, , , ka BP 1950, ,N', '## Mg/Cacarb\tMagnesium/Calcium ratio, calcium carbonate, , , ,speleothem, , Laser Ablation ICPMS,N ']",35.86,-5.41,5,9,2,4,8081.0,-59.0,0.008081,0.0, Cal Year BP, Morocco, Reorganization of the North Atlantic Oscillation during early Holocene deglaciation,"  Jasper A. Wassenburg, Stephan Dietrich, Jan Fietzke, Jens Fohlmeister, Klaus Peter Jochum, Denis Scholz, Detlev K. Richter, Abdellah Sabaoui, Christoph Spotl, Gerrit Lohmann, Meinrat O. Andreae, Adrian Immenhauser", 10.1038/ngeo2767,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\africa\grottedepiste2016bu4mg-ca.txt
12.0,"['Meghalayan', 'Northgrippian', 'Greenlandian']", Grotte de Piste,"['##"" in columns one and two.', '## age_calkaBP\tage, , , calendar years before present, , , ka BP 1950, ,N', '## Sr ppm\tStrontium, calcium carbonate, , ppm, ,speleothem, , Laser Ablation ICPMS,N ', '## P ppm\tPhosphorus, calcium carbonate, , ppm, ,speleothem, , Laser Ablation ICPMS,N ', '## Y ppm\tYyttrium, calcium carbonate, , ppm, ,speleothem, , Laser Ablation ICPMS,N ', '## U ppm\tUranium, calcium carbonate, , ppm, ,speleothem, , Laser Ablation ICPMS,N ']",35.86,-5.41,5,10,3,4,11066.0,2557.0,0.011066,0.002557, Cal Year BP, Morocco, Reorganization of the North Atlantic Oscillation during early Holocene deglaciation,"  Jasper A. Wassenburg, Stephan Dietrich, Jan Fietzke, Jens Fohlmeister, Klaus Peter Jochum, Denis Scholz, Detlev K. Richter, Abdellah Sabaoui, Christoph Spotl, Gerrit Lohmann, Meinrat O. Andreae, Adrian Immenhauser", 10.1038/ngeo2767,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\africa\grottedepiste2016elem.txt
